0,1,2,3,4,5
Business Insider,Katie Notopoulos,Car dealers are worried about an EV reckoning. I asked our transportation reporter what's going on.,Car dealers aren't happy with President Joe Biden's mandate to have two-thirds of all new cars be electric vehicles by 2032.,2023-11-30T11:08:01Z,"President Biden test drives an electric Hummer in 2021.MANDEL NGAN
<ul><li>Car dealers sent a letter urging Biden to ""tap the brakes"" on an electric vehicle mandate.</li><li>Two-thirds of new cars m… [+5311 chars]"
Business Insider,Sponsor Post,How this Polish region is driving the future of electric vehicles and renewable energy,The northern region of Pomerania is leveraging its strategic location and skilled workforce to become the heart of the European e-mobility revolution.,2023-11-30T17:13:23Z,"An aerial view of the city of Gdańsk, Poland.Getty Images
<ul>
<li>Poland has become a major destination for international investment in electric mobility.</li>
<li>The northern region of Pomerania,… [+5632 chars]"
Engadget,Richard Lai,Huawei is allegedly building a self-sufficient chip network using state investment fund,"We've seen Huawei's surprising strides with its recent smartphones — especially the in-house 7nm 5G processor within, but apparently the company has been working on something far more significant to bypass the US import ban. According to a new Bloomberg inves…",2023-12-01T05:18:23Z,"We've seen Huawei's surprising strides with its recent smartphones especially the in-house 7nm 5G processor within, but apparently the company has been working on something far more significant to by… [+2046 chars]"
Engadget,Nathan Ingraham,"Tesla's Cybertruck is a dystopian, masturbatory fantasy","It’s been four years since Tesla first announced the Cybertruck, a hideously ugly electric pickup truck that didn’t seem to actually improve on EVs or pickups in any meaningful way. Instead, the 6,600-pound mass of “stainless super steel” seems to be more the…",2023-11-30T22:56:48Z,"Its been four years since Tesla first announced the Cybertruck, a hideously ugly electric pickup truck that didnt seem to actually improve on EVs or pickups in any meaningful way. Instead, the 6,600-… [+5684 chars]"
The Verge,Andrew J. Hawkins,Redwood Materials will recycle stationary storage batteries as it expands its scope,Redwood Materials is recycling a 4MWh energy substation in Kauai as it expands the scope of batteries it processes. The company aims to grow beyond just EV and e-bike batteries into larger facilities.,2023-11-07T14:00:00Z,"Redwood Materials will recycle stationary storage batteries as it expands its scope
Redwood Materials will recycle stationary storage batteries as it expands its scope
 / The company is recycling b… [+3842 chars]"
MacRumors,Eric Slivka,Apple Preparing to Add Support for Digital Car Keys on MINI Vehicles,"Apple is preparing to begin supporting digital car keys in the Wallet app for certain MINI vehicles, allowing owners to lock, unlock, and start their vehicles using a pass stored in the Wallet app on the iPhone or Apple Watch.





MINI's parent company BMW w…",2023-11-17T15:57:58Z,"Apple is preparing to begin supporting digital car keys in the Wallet app for certain MINI vehicles, allowing owners to lock, unlock, and start their vehicles using a pass stored in the Wallet app on… [+1086 chars]"
The Verge,Andrew J. Hawkins,GM wants you to know that it’s also unhappy with the slow pace of its EV business,"GM is slashing costs on its robotaxi business, Cruise, while also tackling a slowdown in its EV business and investor concerns about increased labor costs. In short, the biggest automaker in North America is dealing with a lot.",2023-11-29T14:50:44Z,"GM wants you to know that its also unhappy with the slow pace of its EV business
GM wants you to know that its also unhappy with the slow pace of its EV business
 / The automaker is slashing costs … [+5718 chars]"
Hackaday,Navarre Bartz,Open Brain Surgery for EBikes and EScooters,"Personal Electric Vehicles (PEVs) all contain the same basic set of parts: a motor, a battery, a motor controller, some sensors, and a display to parse the information. This simplicity allowed [cas…",2023-11-06T21:00:03Z,"Personal Electric Vehicles (PEVs) all contain the same basic set of parts: a motor, a battery, a motor controller, some sensors, and a display to parse the information. This simplicity allowed [casai… [+1195 chars]"
Business Insider,"Nathan Rennolds,George Glover",Chinese electric car maker BYD is about to steal Tesla's crown. Here's why it's winning the race.,China's BYD is almost certain to sell more electric cars worldwide in the final quarter of 2023 and take pole position over Tesla for the first time.,2023-11-18T09:51:01Z,"BYD's Seagull hatchback sells for the equivalent of just over $10,000.Aly Song/Reuters
<ul><li>China is the world's biggest producer of electric vehicles.</li><li>BYD is expected to overtake Tesla a… [+4954 chars]"
Business Insider,Tom Carter,Tesla may finally be about to produce a truly affordable electric car,"Tesla is planning to build a 25,000 euro ($27,000) electric car at its Berlin gigafactory, according to a report from Reuters.",2023-11-06T12:43:30Z,"The Model 3 is currently Tesla's cheapest car.Leonhard Simon/Getty Images
<ul><li>Tesla could build a new car that will sell for nearly $27,000, per Reuters.</li><li>The company has been talking abo… [+2249 chars]"
CNET,Corinne Reichert,EVs Are Switching to Tesla Chargers. Here's When It'll Actually Happen - CNET,"From Ford and GM to Lucid and Polestar, carmakers are all slowly announcing they're adopting Tesla's charging standard. Here's the full list on which brands will soon have access to the Supercharger, and when.",2023-11-07T18:02:08Z,"Remember when it was a novelty to see a Tesla or a Prius on the road? Living in California, nowadays almost every second car I see is a Tesla or another kind of electric car. They'll become even more… [+14921 chars]"
Ars Technica,Jonathan M. Gitlin,"Car dealers say they can’t sell EVs, tell Biden to slow their rollout","The US already lags far behind China and Europe, but we're going too fast, dealers say.",2023-11-28T20:42:14Z,"102 with 
Pity the poor car dealers. After making record profits in the wake of the pandemic and the collapse of just-in-time inventory chains, they're now complaining that selling electric vehicles… [+3329 chars]"
Hackaday,Al Williams,Electric Truck Carries 74 Tons,"Thanks to the various measurement systems in use, we aren’t sure if Volvo has created an electric truck that carries 74 metric tons, 74 short tons, or 74 long tons, but either way, that&#8217…",2023-11-18T06:00:29Z,"Thanks to the various measurement systems in use, we aren’t sure if Volvo has created an electric truck that carries 74 metric tons, 74 short tons, or 74 long tons, but either way, that’s a lot of ca… [+1285 chars]"
Slashdot.org,EditorDavid,"EV Owners Report 'Far More' Problems Than Conventional Car Owners, Says Consumer Reports","Consumer Reports awarded a ""recommended"" rating to Tesla's Modey Y this year, ""with owners reporting fewer issues with its suspension, in-car electronics and general build quality than in previous years"". Tesla's Model 3 also earned a ""recommended"" rating. 

…",2023-12-02T23:34:00Z,"Consumer Reports awarded a ""recommended"" rating to Tesla's Modey Y this year, ""with owners reporting fewer issues with its suspension, in-car electronics and general build quality than in previous ye… [+2917 chars]"
Business Insider,Tim Levin,"The F-150 Lightning is fast, fun, and comfortable — and you probably don't need one",I lived with the Ford's electric F-150 for a week. It showed me why Americans love trucks — and that they're probably overkill for most buyers.,2023-11-09T20:53:30Z,"The 2023 Ford F-150 Lightning Platinum.Tim Levin/Insider
<ul><li>I lived with a $98,000 Ford F-150 Lightning for a week. </li><li>The experience showed me why people love trucks.  </li><li>But it al… [+5078 chars]"
Wired,Matt Simon,Here’s How Bad Climate Change Will Get in the US—and Why There’s Still Hope,The nation’s Fifth National Climate Assessment paints a dark portrait of worsening disasters. But it also points toward accelerating progress and a cleaner future.,2023-11-14T10:00:00Z,"Hot off a summer of record heat, a savage wildfire that destroyed Lahaina, and hurricanes that rapidly intensified into monsters, the United States today released its Fifth National Climate Assessmen… [+3306 chars]"
Slashdot.org,BeauHD,Cruise Recalls All of Its Self Driving Cars To Fix Their Programming,"Long-time Slashdot reader destinyland shares a report from CNN Business: Cruise, General Motors' self-driving vehicle subsidiary, has recalled all 950 of its autonomous vehicles for a software update. Late last month, Cruise paused all its public testing oper…",2023-11-09T02:02:00Z,"Cruise, General Motors' self-driving vehicle subsidiary, has recalled all 950 of its autonomous vehicles for a software update. Late last month, Cruise paused all its public testing operations while … [+797 chars]"
Ars Technica,Jonathan M. Gitlin,Automakers may get leeway with stricter EV tax credit sourcing rules,"It all hinges on how the US Treasury defines ""foreign entities of concern.""",2023-11-29T14:59:01Z,"Enlarge/ Democratic Senators Joe Manchin (L) and Debbie Stabenow (R) don't exactly see eye to eye on the auto industry's transition to electric vehicles.
0 with 
The new and somewhat-complicated ru… [+3182 chars]"
Business Insider,Catherine Boudreau,See what the future of zero-emissions transit looks like in suburban Maryland,"Montgomery County, Maryland, aims to have zero-emission transit by 2035. It's building microgrids with solar, battery storage, and eventually green hydrogen to power its buses.",2023-11-09T20:02:40Z,"The Brookville Smart Energy Bus Depot in Silver Spring, Maryland.Catherine Boudreau/Insider
<ul><li>Montgomery County, Maryland aims to transition its electric bus fleet to zero-emissions by 2035.</… [+3736 chars]"
Business Insider,Polly Thompson,Nissan is ramping up its UK EV business with a $2.5 billion investment,The company said that it would build three EV models at its Sunderland plant in the northeast of England.,2023-11-25T16:41:30Z,"Nissan has announced they will build three new EV models at its Sunderland plant in the UK.Ian Forsyth / Getty
<ul><li>Nissan announced that it would invest billions in its UK EV business.</li><li>T… [+2163 chars]"
Ars Technica,Jonathan M. Gitlin,Job losses likely at VW as the people’s car brand becomes uncompetitive,Management says high costs and low productivity are a big problem.,2023-11-28T14:48:40Z,"Enlarge/ The VW plant in Wolfsburg, Germany.
35 with 
The Volkswagen passenger car brand looks set to lay off workers, according to a report in Reuters. The news organization saw a post on VW's int… [+1819 chars]"
Business Insider,Lloyd Lee,"Saudi Arabia's stake in Lucid dropped in value more than $50 billion as the EV startup struggles, report says","Saudi Arabia's 60% stake in Lucid was worth more than $55B shortly after the EV startup went public in 2021, Bloomberg reported. That stake is now worth $5.4B.",2023-11-11T05:41:25Z,"Lucid AirLucid
<ul><li>Saudi Arabia's sovereign fund has a 60% stake in Lucid Motors, an EV startup.</li><li>Months after the company went public, the stake was valued at more than $55B, per Bloombe… [+1969 chars]"
Autoblog,Yahoo Finance,This Israeli company is building a road that charges electric vehicles in Detroit,"Filed under:
 Green,Emerging Technologies,Electric
 Continue reading This Israeli company is building a road that charges electric vehicles in Detroit
This Israeli company is building a road that charges electric vehicles in Detroit originally appeared on Aut…",2023-11-06T21:27:00Z,"A bus charging wirelessly on a road equipped to charge electric vehicles in Balingen, Germany. (Electreon)
Wireless electric road charging has long been hailed as a potential holy grail for widespre… [+5177 chars]"
Hackaday,Jenny List,Tesla Claims To Have Open Sourced The Roadster,"In an interesting step for anyone who follows electric car technology, the automaker Tesla has released a trove of information about its first-generation Roadster car into the public domain. The …read more",2023-11-25T12:00:00Z,"In an interesting step for anyone who follows electric car technology, the automaker Tesla has released a trove of information about its first-generation Roadster car into the public domain. The docu… [+1274 chars]"
Business Insider,Tim Levin,"I drove BMW's $68,000 Tesla rival. Here are 4 pros and 2 cons before you buy.","The i4 isn't as futuristic or flashy as some electric rivals, but it's incredibly fun to drive.",2023-11-04T10:58:01Z,"The BMW i4 eDrive40.Tim Levin/Insider
<ul><li>I drove the i4, BMW's new Tesla rival. </li><li>It's sporty, well-built, and approachable for first-time EV buyers. </li><li>But it lacks some of the sp… [+4729 chars]"
Business Insider,Tom Carter,"Another sign that the future of EV buying is leasing: Rivian leases its $73,000 truck","The EV startup has made its R1T truck available to lease in 14 US states, as it experiments with new methods to attract customers.",2023-11-28T11:59:29Z,"The Rivian R1T electric pickup is a key rival to Tesla's Cybertruck.Chicago Tribune/Getty Images
<ul><li>Rivian has made its R1T electric pickup available to lease in 14 US states.</li><li>The Tesla… [+2769 chars]"
CNET,Antuan Goodwin,I Visited Hyundai's AI-powered Robo-Factory That Builds AI-Powered Robotaxis - CNET,Hyundai Motor Group's new Innovation Center in Singapore is a test bed for highly automated and AI-powered automotive manufacturing and design.,2023-11-30T10:30:50Z,"The rise of and transition to electrification is changing the way we think about designing, driving and refueling (or bidirectionally recharging) our cars. But for automakers such as the Hyundai Moto… [+9754 chars]"
Digital Trends,Trevor Mogg,Lucid joins other automakers by adopting Tesla charging plug,Lucid Motors has become the latest automaker to announce that it will adopt the North American Charging Standard (NACS) for its electric vehicles.,2023-11-07T01:50:45Z,"Lucid Motors has become the latest automaker to announce that it will adopt the North American Charging Standard (NACS) – also known as “the Tesla plug” – for its electric vehicles.
The move follows… [+1909 chars]"
Design-milk.com,Gregory Han,The Pebble Flow Is a 100% Electric RV Designed to Remain Off-Grid for a Week,"Who wouldn't want to hit the road in the luxe, modern, and 100% electric Pebble Flow RV trailer designed by former Apple and Tesla engineers?",2023-11-24T14:00:27Z,"So many people will never embark on an RV trip simply because they are intimidated by how to do it,” notes Stefan Solyom, Pebble CTO, a new electric recreational vehicle venture developed by a roster… [+3644 chars]"
Business Insider,Nora Naughton,These dealers love their EVs. They just don't know how to convince shoppers.,"Dealers who buy EVs love the cars, but they're stumped on how to convince more customers to buy them.",2023-11-18T11:08:01Z,"2021 Ford Mustang Mach-E.Tim Levin/Insider
<ul><li>These dealers who switched to EVs love their cars.</li><li>But customers are harder to convince.</li><li>Being an EV owner helps these dealers talk… [+2860 chars]"
Business Insider,Tom Carter,"This $13,000 microcar is outselling Teslas in Japan. Here's what drivers love about it.",The Nissan Sakura is the best-selling electric car in Japan this year. We asked drivers what they love about it.,2023-11-05T10:30:02Z,"The Nissan Sakura accounts for around half of all EVs sold in Japan in 2023.SOPA Images/Getty Images
<ul><li>The Nissan Sakura was the best-selling EV in Japan this year. </li><li>Drivers told Insid… [+4465 chars]"
Engadget,Mat Smith,The Morning After: Google plans to delete your old inactive accounts starting tomorrow,"Starting December 1, 2023 (that’s tomorrow), Google will begin deleting accounts that have been inactive for at least two years. The company says it's doing so for privacy reasons: “If an account hasn’t been used for an extended period of time, it is more lik…",2023-11-30T12:15:17Z,"Starting December 1, 2023 (thats tomorrow), Google will begin deleting accounts that have been inactive for at least two years. The company says it's doing so for privacy reasons: If an account hasnt… [+4365 chars]"
Business Insider,Jason Steele,"I always saved money buying used cars, but $12,500 in tax credits for going electric means I'm getting a brand-new Tesla","I've always preferred saving money by buying used cars, but I'm buying a new Tesla to take advantage of the tax credits for electric cars.",2023-11-25T12:44:01Z,"Our experts answer readers' tax questions and write unbiased product reviews (here's how we assess tax products). In some cases, we receive a commission from our partners; however, our opinions are o… [+4717 chars]"
Business Insider,Tom Carter,America's best-selling car will soon be hybrid-only,"The 2025 Toyota Camry, the latest version of the best-selling car in the US, will be available exclusively as a hybrid.",2023-11-16T12:55:50Z,"The 2025 Toyota Camry will only be available as a hybrid.Toyota
<ul><li>Toyota has said that the 2025 Camry will be available exclusively as a hybrid.</li><li>The family sedan has been the best-sell… [+1823 chars]"
Business Insider,Nora Naughton,Ford is losing dealers' trust after a rocky year for the EV transition,"As the EV transition wears on dealers, about 46% of Ford dealers surveyed said they have ""no trust"" in the franchise.",2023-11-07T20:13:23Z,"A Ford dealership.Peter Dench/Getty Images
<ul><li>Nearly half of Ford dealers said they have ""no trust"" in their franchise in new survey.</li><li>Ford dealers have had a tough year balancing EV dem… [+3469 chars]"
Politicopro.com,"Mike Lee, E&E News",Electric Vehicles Might Not Yet Have Replaced as Much Car Mileage as Hoped,"Without policies to promote electric vehicle purchases and build up charging infrastructure,&nbsp;such vehicles&nbsp;might produce fewer emissions reductions&nbsp;than hoped",2023-11-07T19:30:00Z,"CLIMATEWIRE | Electric vehicles may one day dominate U.S. roads, but for now, they’re spending a lot of time in the driveway.
New research published in the academic journal Joule found that drivers … [+4597 chars]"
kottke.org,Jason Kottke,"Relax, Electric Vehicles Really Are the Best Choice for the Climate. “Electric...","Relax, Electric Vehicles Really Are the Best Choice for the Climate. “Electric vehicles are like digital cameras in their ea",2023-11-27T19:21:49Z,"×Hello! In order to leave a comment, you need to be a current kottke.org member. If you'd like to sign up for a membership to support the site, you can explore your options here.
Existing members ca… [+368 chars]"
Business Insider,Polly Thompson,"Tesla will sue you for $50,000 if you try to resell your Cybertruck in the first year","Tesla may agree to buy the truck back at the original price minus ""$0.25/mile driven"" and any damages and repairs.",2023-11-12T12:17:34Z,"Tesla Cybertruck.Tesla
<ul><li>Tesla has released the sale terms for its long-awaited Cybertruck ahead of its 30 November release.</li><li>Owners of the EV pickup truck are banned from reselling the… [+2209 chars]"
Autoblog,Jeremy Korzeniewski,"Hyundai, Kia's Uni Wheel electric drive system could revolutionize EV design","Filed under:
 Design/Style,Green,Hyundai,Kia,Technology,Electric,Future Vehicles
 Continue reading Hyundai, Kia's Uni Wheel electric drive system could revolutionize EV design
Hyundai, Kia's Uni Wheel electric drive system could revolutionize EV design origin…",2023-11-29T14:08:00Z,"The massive worldwide focus on electric vehicle technology has already introduced noteworthy changes to automobile design, notably due to the flat floor design with one large battery pack popularized… [+1829 chars]"
Autoblog,Stephen Williams,"New electric Nissan Juke, two other EVs, scheduled for across the pond","Filed under:
 Tokyo Auto Salon,Nissan,Crossover,Electric,Future Vehicles
 Continue reading New electric Nissan Juke, two other EVs, scheduled for across the pond
New electric Nissan Juke, two other EVs, scheduled for across the pond originally appeared on Aut…",2023-12-03T13:00:00Z,"The funky Nissan Juke, which found a mostly friendly audience in the United States until it was discontinued six years ago, will be reborn as an electric vehicle for the European market by the end of… [+1888 chars]"
Autoblog,Jeremy Korzeniewski,Electric cars are less likely to catch fire than gas cars,"Filed under:
 Green,Safety,Electric
 Continue reading Electric cars are less likely to catch fire than gas cars
Electric cars are less likely to catch fire than gas cars originally appeared on Autoblog on Thu, 23 Nov 2023 15:00:00 EST. Please see our terms fo…",2023-11-23T20:00:00Z,"Yes, electric cars can and do sometimes catch on fire. And it seems such conflagrations are reported in the news on a surprisingly regular basis. This raises a couple of obvious questions. First, how… [+1610 chars]"
Business Insider,Catherine Boudreau,Consider getting trained to become an electrician — and fast,"As the US races to meet green energy targets, it needs tens of thousands of electricians that will unlock the biggest economic transformation in a century.",2023-11-18T17:25:02Z,"Pete Ryan for Business Insider
<ul><li>Electricians are in high demand as the US transitions to a greener economy.</li><li>More than 73,000 jobs are expected to open each year over the next decade.<… [+4364 chars]"
Business Insider,"Grace Kay,Nora Naughton","Tesla's backtracked $50,000 resale fee could be a sign the Cybertruck isn't destined for the mainstream yet",Tesla's short-lived resale restriction on the Cybertruck is the latest sign the truck isn't ready for the mass market quiet yet.,2023-11-15T13:54:35Z,"Tesla Cybertruck.Tesla
<ul><li>Tesla added (and quickly deleted) a $50,000 resale clause for its Cybertruck.</li><li>The fee could be a sign the Cybertruck might be a smaller release than expected, … [+3557 chars]"
Business Insider,Linette Lopez,Elon Musk started a price war that Tesla can't win,Tesla has spent the past year slashing its prices to try and drive away the competition. That's a losing strategy.,2023-11-12T11:22:01Z,"Elon Musk has started slashing prices on Tesla's electric cars. That's going to come back to burn him.Mike Windle/Getty Images; Jenny Chang-Rodriguez/Insider
Elon Musk has started an electric-vehicl… [+13782 chars]"
Ars Technica,Ars Contributors,"Driving the Volvo EX30, a $36K EV that prioritizes sustainability",Volvo says the EX30's carbon footprint is 25 percent smaller than the C40 or XC40.,2023-11-06T08:00:55Z,"Enlarge/ There are growing calls for smaller, cheaper electric vehicles and at least Volvo has been listening.
2 with 
Volvo provided flights from Los Angeles to Barcelona and three nights in a hot… [+6560 chars]"
Business Insider,Jyoti Mann,China boldly claims it has a plan to mass produce humanoid robots that can 'reshape the world' within two years,"China's Ministry of Industry and Information Technology published a blueprint of its plans to produce the robots, which it thinks will be as ""disruptive"" as smartphones.",2023-11-06T13:15:51Z,"Tesla unveiled its Optimus humanoid robot prototype in 2021. It remains to be seen whether China's plans could rival it.VCG/ Getty Images
<ul><li>China revealed its bold plans to mass produce ""advan… [+2493 chars]"
Yanko Design,Ida Torres,Solar electric minivan lets you power up in emergency situations,"Solar electric minivan lets you power up in emergency situationsIn the old days, the only function of vehicles was to transport people and goods to their desired location. But as technology evolves, we expect...",2023-12-02T21:45:42Z,"In the old days, the only function of vehicles was to transport people and goods to their desired location. But as technology evolves, we expect a lot more from them other than just a way to get from… [+1783 chars]"
Yahoo Entertainment,Jonathon Ramsey,"BMW applies to trademark 'iM3' in Europe twice, could be the electric M3 name","Filed under:
 Green,BMW,Electric,Future Vehicles,Luxury,Performance,Sedan
 Continue reading BMW applies to trademark 'iM3' in Europe twice, could be the electric M3 name
BMW applies to trademark 'iM3' in Europe twice, could be the electric M3 name originally …",2023-11-29T18:54:00Z,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 239 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]"
Windows Central,zacharylboddy@outlook.com (Zachary Boddy),"The next Forza Horizon 5 update will include the Lucid Air Sapphire, a 1,200 horsepower luxury electric sedan","The next Forza Horizon 5 update is American Automotive, and one of the new vehicles in the Festival Playlist will be the all-electric 2024 Lucid Air Sapphire.",2023-11-06T19:00:08Z,"<ul><li>The Forza Horizon 5 car list continues to expand at a rapid pace, encompassing all manner of cars from all over the world.</li><li>The next FH5 update is all about American-made vehicles, tho… [+2747 chars]"
Ars Technica,Dan Goodin,Hackers spent 2+ years looting secrets of chipmaker NXP before being detected,"Chipmaker claims breach had no ""material adverse effect.""",2023-11-28T12:56:49Z,"2 with 
A prolific espionage hacking group with ties to China spent over two years looting the corporate network of NXP, the Netherlands-based chipmaker whose silicon powers security-sensitive compo… [+6154 chars]"
Autoblog,Reuters,Rivian launches leasing for R1T electric pickup truck in some U.S. states,"Filed under:
 Green,Car Buying,Electric,Rivian
 Continue reading Rivian launches leasing for R1T electric pickup truck in some U.S. states
Rivian launches leasing for R1T electric pickup truck in some U.S. states originally appeared on Autoblog on Mon, 27 Nov…",2023-11-27T23:01:00Z,"Rivian Automotive on Monday announced the launch of leasing for its R1T electric pickup truck for customers, beginning in 14 U.S. states.
The option, which has been made available in Arizona, Califo… [+654 chars]"
Goldmansachs.com,NA,Electric vehicle battery prices are falling faster than expected,Comments,2023-11-17T14:57:16Z,It wasnt long ago rising demand and component shortages sparked concern that greenflation would drive up prices for the batteries used in electric vehicles. Thats subsiding as prices cool for battery… [+3819 chars]
Business Insider,John L. Dorman,"Trump is wooing oil and gas tycoons to financially support his 2024 campaign, report says",Donald Trump is reminding oil and gas executives that he weakened key environmental regulations and opened up drilling on public land.,2023-11-11T20:17:33Z,"Former President Donald Trump.AP Photo/Lynne Sladky
<ul><li>Former President Trump is working to ramp up his support among energy executives, WaPo reported.</li><li>Trump is a climate crisis skeptic… [+4573 chars]"
